event,process,lamport_ts,vector_clock,causal_order_ok
SEND_0_P0->P1,0,1,"[1, 0, 0]",True
RECV_0_P0->P1,1,2,"[1, 1, 0]",True
SEND_0_P1->P0,1,3,"[1, 2, 0]",True
RECV_0_P1->P0,0,4,"[2, 2, 0]",True
SEND_0_P2->P0,2,1,"[0, 0, 1]",True
RECV_0_P2->P0,0,5,"[3, 2, 1]",True
SEND_1_P0->P1,0,6,"[4, 2, 1]",True
RECV_1_P0->P1,1,7,"[4, 3, 1]",True
SEND_1_P1->P2,1,8,"[4, 4, 1]",True
RECV_1_P1->P2,2,9,"[4, 4, 2]",True
SEND_1_P2->P1,2,10,"[4, 4, 3]",True
RECV_1_P2->P1,1,11,"[4, 5, 3]",True
SEND_2_P0->P1,0,7,"[5, 2, 1]",True
RECV_2_P0->P1,1,12,"[5, 6, 3]",True
SEND_2_P1->P2,1,13,"[5, 7, 3]",True
RECV_2_P1->P2,2,14,"[5, 7, 4]",True
SEND_2_P2->P0,2,15,"[5, 7, 5]",True
RECV_2_P2->P0,0,16,"[6, 7, 5]",True
SEND_3_P0->P2,0,17,"[7, 7, 5]",True
RECV_3_P0->P2,2,18,"[7, 7, 6]",True
SEND_3_P1->P2,1,14,"[5, 8, 3]",True
RECV_3_P1->P2,2,19,"[7, 8, 7]",True
SEND_3_P2->P0,2,20,"[7, 8, 8]",True
RECV_3_P2->P0,0,21,"[8, 8, 8]",True
SEND_4_P0->P1,0,22,"[9, 8, 8]",True
RECV_4_P0->P1,1,23,"[9, 9, 8]",True
SEND_4_P1->P2,1,24,"[9, 10, 8]",True
RECV_4_P1->P2,2,25,"[9, 10, 9]",True
SEND_4_P2->P1,2,26,"[9, 10, 10]",True
RECV_4_P2->P1,1,27,"[9, 11, 10]",True
SEND_5_P0->P1,0,23,"[10, 8, 8]",True
RECV_5_P0->P1,1,28,"[10, 12, 10]",True
SEND_5_P1->P0,1,29,"[10, 13, 10]",True
RECV_5_P1->P0,0,30,"[11, 13, 10]",True
SEND_5_P2->P1,2,27,"[9, 10, 11]",True
RECV_5_P2->P1,1,30,"[10, 14, 11]",True
SEND_6_P0->P2,0,31,"[12, 13, 10]",True
RECV_6_P0->P2,2,32,"[12, 13, 12]",True
SEND_6_P1->P2,1,31,"[10, 15, 11]",True
RECV_6_P1->P2,2,33,"[12, 15, 13]",True
SEND_6_P2->P1,2,34,"[12, 15, 14]",True
RECV_6_P2->P1,1,35,"[12, 16, 14]",True
SEND_7_P0->P1,0,32,"[13, 13, 10]",True
RECV_7_P0->P1,1,36,"[13, 17, 14]",True
SEND_7_P1->P0,1,37,"[13, 18, 14]",True
RECV_7_P1->P0,0,38,"[14, 18, 14]",True
SEND_7_P2->P1,2,35,"[12, 15, 15]",True
RECV_7_P2->P1,1,38,"[13, 19, 15]",True
SEND_8_P0->P2,0,39,"[15, 18, 14]",True
RECV_8_P0->P2,2,40,"[15, 18, 16]",True
SEND_8_P1->P0,1,39,"[13, 20, 15]",True
RECV_8_P1->P0,0,40,"[16, 20, 15]",True
SEND_8_P2->P1,2,41,"[15, 18, 17]",True
RECV_8_P2->P1,1,42,"[15, 21, 17]",True
SEND_9_P0->P2,0,41,"[17, 20, 15]",True
RECV_9_P0->P2,2,42,"[17, 20, 18]",True
SEND_9_P1->P0,1,43,"[15, 22, 17]",True
RECV_9_P1->P0,0,44,"[18, 22, 17]",True
SEND_9_P2->P1,2,43,"[17, 20, 19]",True
RECV_9_P2->P1,1,44,"[17, 23, 19]",True
