tick,argus_fairness,cfs_fairness,rr_fairness,argus_min_share,cfs_min_share,rr_min_share,lyapunov_V
1,0.7027041095177369,0.6935635792778652,0.9999999999999998,0.05,0.0425531914893617,0.2,0.21004741060504067
2,0.7423857823213946,0.6935635792778652,0.9999999999999998,0.05,0.0425531914893617,0.2,0.18014692187804127
3,0.7808226056646189,0.6935635792778652,0.9999999999999998,0.05565960962733297,0.0425531914893617,0.2,0.14939578909900536
4,0.8141545432434915,0.6935635792778652,0.9999999999999998,0.06266888490130218,0.0425531914893617,0.2,0.1233800266594765
5,0.8421982216671788,0.6935635792778652,0.9999999999999998,0.06985028080661046,0.0425531914893617,0.2,0.1023018473121466
6,0.865988471895009,0.6935635792778652,0.9999999999999998,0.07716102790928935,0.0425531914893617,0.2,0.08498768975811412
7,0.8863104608374218,0.6935635792778652,0.9999999999999998,0.08454903657123213,0.0425531914893617,0.2,0.0706232335986496
8,0.9037559586962781,0.6935635792778652,0.9999999999999998,0.09195588152584887,0.0425531914893617,0.2,0.05862675329344749
9,0.9187738195665798,0.6935635792778652,0.9999999999999998,0.09931988999618913,0.0425531914893617,0.2,0.048569738241960744
10,0.9317101793865281,0.6935635792778652,0.9999999999999998,0.1065791692420291,0.0425531914893617,0.2,0.04012637548640276
11,0.9428389567387099,0.6935635792778652,0.9999999999999998,0.11367440415734059,0.0425531914893617,0.2,0.033040943434227754
12,0.9523842311634779,0.6935635792778652,0.9999999999999998,0.12055126225995307,0.0425531914893617,0.2,0.027106601312094462
13,0.96053603049007,0.6935635792778652,0.9999999999999998,0.127162277105388,0.0425531914893617,0.2,0.02215158836377403
14,0.9674608868031014,0.6935635792778652,0.9999999999999998,0.13346813566855875,0.0425531914893617,0.2,0.018030291073993357
15,0.9733083906674582,0.6935635792778652,0.9999999999999998,0.13943835749004352,0.0425531914893617,0.2,0.014617491969027903
16,0.9782148586594068,0.6935635792778652,0.9999999999999998,0.14505141048328418,0.0425531914893617,0.2,0.011804653136183438
17,0.9823050884583293,0.6935635792778652,0.9999999999999998,0.15029435117439677,0.0425531914893617,0.2,0.00949745282775541
18,0.9856929975391049,0.6935635792778652,0.9999999999999998,0.15516210176175657,0.0425531914893617,0.2,0.007614053757105055
19,0.9884817413860887,0.6935635792778652,0.9999999999999998,0.1596564832149616,0.0425531914893617,0.2,0.006083770461254627
20,0.9907637110751681,0.6935635792778652,0.9999999999999998,0.16378511619524874,0.0425531914893617,0.2,0.004845937945336533
21,0.9926206407555375,0.6935635792778652,0.9999999999999998,0.1675602847329033,0.0425531914893617,0.2,0.003848876178431545
22,0.9941239258529658,0.6935635792778652,0.9999999999999998,0.1709978361640605,0.0425531914893617,0.2,0.003048904252979129
23,0.9953351651827381,0.6935635792778652,0.9999999999999998,0.17411616873320154,0.0425531914893617,0.2,0.002409392581112158
24,0.9963068895930667,0.6935635792778652,0.9999999999999998,0.17693533818926682,0.0425531914893617,0.2,0.0018998588145840364
25,0.9970834175259389,0.6935635792778652,0.9999999999999998,0.17947629811356255,0.0425531914893617,0.2,0.0014951193835883968
